_id,age,male,female,totpopulation
60350a807f3cda5744842778,0-4,15590201,14888440,30478641
60350a807f3cda5744842779,05-9,13162201,12620847,25783048
60350a807f3cda574484277a,10-14,11057669,10650088,21707757
60350a807f3cda574484277b,15-19,9170973,8885263,18056236
60350a807f3cda574484277c,20-24,7750154,7533403,15283557
60350a807f3cda574484277d,25-29,6744410,6547312,13291722
60350a807f3cda574484277e,30-34,5845208,5665744,11510952
60350a807f3cda574484277f,35-39,4849975,4718575,9568550
60350a807f3cda5744842780,40-44,3871006,3802113,7673119
60350a807f3cda5744842781,45-49,3054542,3063000,6117542
60350a807f3cda5744842782,50-54,2482351,2537887,5020238
60350a807f3cda5744842783,55-59,1949536,2050893,4000429
60350a807f3cda5744842784,60-64,1467808,1594117,3061925
60350a807f3cda5744842785,65-69,1096038,1180702,2276740
60350a807f3cda5744842786,70-74,695186,766682,1461868
60350a807f3cda5744842787,75-79,349276,396696,745972
60350a807f3cda5744842788,80-84,130558,151752,282310
60350a807f3cda5744842789,85-89,32458,39165,71623
60350a807f3cda574484278a,90-94,5006,6540,11546
60350a807f3cda574484278b,95-99,474,675,1149
60350a807f3cda574484278c,100,4,3,7
60350a987f3cda574484278d,0-4,15590201,14888440,30478641
60350a987f3cda574484278e,05-9,13162201,12620847,25783048
60350a987f3cda574484278f,10-14,11057669,10650088,21707757
60350a987f3cda5744842790,15-19,9170973,8885263,18056236
60350a987f3cda5744842791,20-24,7750154,7533403,15283557
60350a987f3cda5744842792,25-29,6744410,6547312,13291722
60350a987f3cda5744842793,30-34,5845208,5665744,11510952
60350a987f3cda5744842794,35-39,4849975,4718575,9568550
60350a987f3cda5744842795,40-44,3871006,3802113,7673119
60350a987f3cda5744842796,45-49,3054542,3063000,6117542
60350a987f3cda5744842797,50-54,2482351,2537887,5020238
60350a987f3cda5744842798,55-59,1949536,2050893,4000429
60350a987f3cda5744842799,60-64,1467808,1594117,3061925
60350a987f3cda574484279a,65-69,1096038,1180702,2276740
60350a987f3cda574484279b,70-74,695186,766682,1461868
60350a987f3cda574484279c,75-79,349276,396696,745972
60350a987f3cda574484279d,80-84,130558,151752,282310
60350a987f3cda574484279e,85-89,32458,39165,71623
60350a987f3cda574484279f,90-94,5006,6540,11546
60350a987f3cda57448427a0,95-99,474,675,1149
60350a987f3cda57448427a1,100,4,3,7
60350aea7f3cda57448427a2,0-4,15590201,14888440,30478641
60350aea7f3cda57448427a3,05-9,13162201,12620847,25783048
60350aea7f3cda57448427a4,10-14,11057669,10650088,21707757
60350aea7f3cda57448427a5,15-19,9170973,8885263,18056236
60350aea7f3cda57448427a6,20-24,7750154,7533403,15283557
60350aea7f3cda57448427a7,25-29,6744410,6547312,13291722
60350aea7f3cda57448427a8,30-34,5845208,5665744,11510952
60350aea7f3cda57448427a9,35-39,4849975,4718575,9568550
60350aea7f3cda57448427aa,40-44,3871006,3802113,7673119
60350aea7f3cda57448427ab,45-49,3054542,3063000,6117542
60350aea7f3cda57448427ac,50-54,2482351,2537887,5020238
60350aea7f3cda57448427ad,55-59,1949536,2050893,4000429
60350aea7f3cda57448427ae,60-64,1467808,1594117,3061925
60350aea7f3cda57448427af,65-69,1096038,1180702,2276740
60350aea7f3cda57448427b0,70-74,695186,766682,1461868
60350aea7f3cda57448427b1,75-79,349276,396696,745972
60350aea7f3cda57448427b2,80-84,130558,151752,282310
60350aea7f3cda57448427b3,85-89,32458,39165,71623
60350aea7f3cda57448427b4,90-94,5006,6540,11546
60350aea7f3cda57448427b5,95-99,474,675,1149
60350aea7f3cda57448427b6,100,4,3,7
